ident,icao,iata,name,type,municipality,lat,lon,elev_ft,runway_len_ft,runway_len_m,surface,lighted,n_runways,scheduled_service
NZAA,NZAA,AKL,Auckland International Airport,large_airport,Auckland,-37.01199,174.78633,23,11926,3635,Concrete,1,1,1
NZCH,NZCH,CHC,Christchurch International Airport,large_airport,Christchurch,-43.48903,172.53206,123,10787,3288,Asphalt,1,3,1
NZOH,NZOH,OHA,RNZAF Base Ohakea,medium_airport,,-40.206,175.388,164,8028,2447,Asphalt,1,3,0
NZNV,NZNV,IVC,Invercargill Airport,medium_airport,Invercargill,-46.4124,168.313,5,7251,2210,Asphalt,1,4,1
NZHN,NZHN,HLZ,Hamilton International Airport,medium_airport,Hamilton,-37.86696,175.33195,172,6755,2059,Asphalt,1,5,1
NZWP,NZWP,,RNZAF Base Auckland-Whenuapai,medium_airport,,-36.7878,174.63001,103,6665,2031,Asphalt,1,3,0
NZWN,NZWN,WLG,Wellington International Airport,large_airport,Wellington,-41.32684,174.80686,41,6352,1936,Asphalt,1,1,1
NZPM,NZPM,PMR,Palmerston North Airport,medium_airport,Palmerston North,-40.3206,175.617,151,6240,1902,Unknown,0,3,1
NZDN,NZDN,DUD,Dunedin International Airport,medium_airport,Dunedin,-45.92902,170.19776,4,6234,1900,Asphalt,1,1,1
NZQN,NZQN,ZQN,Queenstown Airport,large_airport,Queenstown,-45.0192,168.74638,1171,6204,1891,Asphalt,1,2,1
NZTG,NZTG,TRG,Tauranga Airport,medium_airport,Tauranga,-37.6719,176.196,13,5988,1825,Asphalt,0,5,1
NZNR,NZNR,NPE,Hawke's Bay Airport,medium_airport,Napier,-39.4658,176.86999,6,5741,1750,Asphalt,1,2,1
NZRO,NZRO,ROT,Rotorua Regional Airport,medium_airport,Rotorua,-38.1092,176.317,935,5321,1622,Asphalt,1,3,1
NZMC,NZMC,MON,Mount Cook Airport,medium_airport,,-43.765,170.133,2153,5157,1572,Asphalt,0,1,0
NZ-0022,NZCW,,Cromwell/Louburn Airport,small_airport,Cromwell,-44.98276,169.2157,1010,5080,1548,Grass,0,1,0
NZRK,NZRK,,Rangitaiki Airfield,small_airport,,-38.8864,176.364,2323,4934,1504,Grass,0,1,0
NZWT,NZWT,WTZ,Whitianga Airport,small_airport,Whitianga,-36.82873,175.6828,10,4744,1446,Grass,0,2,0
NZWB,NZWB,BHE,Woodbourne Airport,medium_airport,Blenheim,-41.5183,173.87,109,4675,1425,Grass,0,3,1
NZAR,NZAR,AMZ,Ardmore Airport,medium_airport,Manurewa,-37.0297,174.97301,111,4630,1411,Asphalt,1,3,0
NZKT,NZKT,KAT,Kaitaia Airport,medium_airport,Awanui,-35.06984,173.28705,270,4600,1402,Asphalt,1,2,1
NZAS,NZAS,ASG,Ashburton Airport,small_airport,Ashburton,-43.9033,171.797,302,4554,1388,Grass,0,4,0
NZAP,NZAP,TUO,Taupo Airport,medium_airport,Taupo,-38.7397,176.084,1335,4547,1386,Asphalt,1,2,1
NZWU,NZWU,WAG,Wanganui Airport,medium_airport,Wanganui,-39.96347,175.02444,27,4521,1378,Asphalt,1,6,1
NZCI,NZCI,CHT,Inia William Tuuta Memorial Airport,medium_airport,Te One,-43.81189,-176.46514,43,4462,1360,Asphalt,1,1,1
NZPP,NZPP,PPQ,Paraparaumu Airport,medium_airport,,-40.9047,174.989,22,4429,1350,Asphalt,1,5,0
NZNS,NZNS,NSN,Nelson Airport,medium_airport,Nelson,-41.29671,173.22432,17,4420,1347,Asphalt,1,4,1
NZHK,NZHK,HKK,Hokitika Airfield,medium_airport,,-42.7136,170.985,146,4311,1314,Asphalt,1,2,1
NZGS,NZGS,GIS,Gisborne Airport,medium_airport,Gisborne,-38.6633,177.978,15,4298,1310,Asphalt,1,5,1
NZNP,NZNP,NPL,New Plymouth Airport,medium_airport,New Plymouth,-39.0086,174.179,97,4298,1310,Asphalt,1,3,1
NZOU,NZOU,OAM,Oamaru Airport,medium_airport,,-44.97,171.082,99,4210,1283,Asphalt,1,3,0
NZTU,NZTU,TIU,Timaru Airport,medium_airport,,-44.3028,171.22501,89,4200,1280,Asphalt,1,3,1
NZWK,NZWK,WHK,Whakatāne Airport,medium_airport,Whakatāne,-37.92222,176.91696,20,4200,1280,Asphalt,1,3,1
NZWS,NZWS,WSZ,Westport Airport,medium_airport,Westport,-41.73711,171.57903,13,4200,1280,Asphalt,1,1,1
NZMS,NZMS,MRO,Hood Airport,medium_airport,Masterton,-40.97463,175.63454,364,4101,1250,Asphalt,1,5,0
NZGA,NZGA,,Galatea Airfield,small_airport,,-38.4039,176.744,594,3953,1205,Grass,0,1,0
NZDV,NZDV,,Dannevirke Aerodrome,small_airport,,-40.23168,176.0794,635,3937,1200,Grass,0,2,0
NZLX,NZLX,ALR,Alexandra Aerodrome,medium_airport,Alexandra,-45.2105,169.37111,752,3937,1200,Grass,0,3,0
NZWF,NZWF,WKA,Wanaka Airport,medium_airport,Wanaka,-44.72209,169.24629,1142,3937,1200,Asphalt,0,1,1
NZRU,NZRU,,Waiouru Airport,small_airport,,-39.4464,175.658,2686,3917,1194,Asphalt,0,1,0
NZKK,NZKK,KKE,Kerikeri Airport,medium_airport,Kerikeri,-35.25915,173.91332,492,3904,1190,Asphalt,1,4,1
NZRT,NZRT,,Rangiora Airfield,small_airport,Rangiora,-43.29,172.54201,180,3871,1180,Grass,0,3,0
NZWR,NZWR,WRE,Whangarei Airport,medium_airport,Whangarei,-35.76925,174.36371,133,3599,1097,Asphalt,1,2,1
NZGM,NZGM,GMN,Greymouth Airport,small_airport,,-42.4617,171.19,10,3579,1091,Concrete,1,1,0
NZMA,NZMA,MTA,Matamata Glider Airport,small_airport,,-37.7344,175.742,180,3572,1089,Grass,0,1,0
NZUK,NZUK,TWZ,Pukaki Airport,medium_airport,Twitzel,-44.235,170.118,1575,3550,1082,Asphalt,0,1,0
NZMO,NZMO,TEU,Manapouri Airport,medium_airport,,-45.5331,167.64999,687,3547,1081,Asphalt,0,1,0
NZHS,NZHS,,Hastings Aerodrome,small_airport,Bridge Pa,-39.6467,176.767,72,3525,1074,B,1,4,0
NZYP,NZYP,,Waipukurau Airport,small_airport,,-39.9967,176.537,430,3461,1055,Gr,0,1,0
